value;nbIteration
1.0;64
2.0;118
3.0;155
4.0;172
5.0;208
6.0;224
7.0;237
8.0;247
9.0;261
10.0;269
11.0;281
12.0;285
13.0;295
14.0;303
15.0;317
16.0;324
17.0;318
18.0;349
19.0;339
20.0;349
21.0;354
22.0;365
23.0;363
24.0;365
25.0;368
26.0;372
