agent experiment
value;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0;26.0;27.0;28.0;29.0;30.0;31.0;32.0;33.0;34.0;35.0;36.0;37.0;38.0;39.0;40.0;41.0;42.0;43.0;44.0;45.0;46.0;47.0;48.0;49.0;50.0;51.0;52.0;53.0;54.0;55.0;56.0;57.0;58.0;59.0;60.0;61.0;62.0;63.0;64.0;65.0;66.0;67.0;68.0;69.0;70.0;71.0;72.0;73.0;74.0;75.0;76.0;77.0;78.0;79.0;80.0;81.0;82.0;83.0;84.0;85.0;86.0;87.0;88.0;89.0;90.0;91.0;92.0;93.0;94.0;95.0;96.0;97.0;98.0;99.0;100.0;
nbIterations;42024;19478;13073;7218;6721;6250;5134;4357;3858;3463;2563;2334;2865;3247;1854;2466;2393;2248;1367;1248;1214;1132;975;952;1227;1202;883;904;966;969;1007;938;952;655;679;852;867;655;563;587;571;608;619;596;685;545;526;586;504;429;459;536;513;632;401;454;617;467;410;460;370;410;320;353;305;340;335;240;263;326;296;318;252;274;264;216;251;211;273;223;306;255;240;232;232;203;215;221;229;207;231;180;263;172;158;242;171;185;161;224;
